# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.40076e+03, 6.46242e-11, 4.89996e-09, 1.98128e-09 
-2.40026e+03, 6.46269e-11, 4.90015e-09, 1.98135e-09 
-2.39976e+03, 6.46295e-11, 4.90035e-09, 1.98143e-09 
-2.39926e+03, 6.46322e-11, 4.90054e-09, 1.98151e-09 
-2.39876e+03, 6.46349e-11, 4.90074e-09, 1.98159e-09 
-2.39826e+03, 6.46376e-11, 4.90094e-09, 1.98167e-09 
-2.39776e+03, 6.46404e-11, 4.90114e-09, 1.98175e-09 
-2.39726e+03, 6.46431e-11, 4.90134e-09, 1.98183e-09 
-2.39676e+03, 6.46458e-11, 4.90154e-09, 1.98191e-09 
-2.39626e+03, 6.46486e-11, 4.90174e-09, 1.98199e-09 
-2.39576e+03, 6.46514e-11, 4.90194e-09, 1.98208e-09 
-2.39526e+03, 6.46542e-11, 4.90214e-09, 1.98216e-09 
-2.39476e+03, 6.46570e-11, 4.90235e-09, 1.98224e-09 
-2.39426e+03, 6.46598e-11, 4.90255e-09, 1.98232e-09 
-2.39376e+03, 6.46626e-11, 4.90276e-09, 1.98241e-09 
-2.39326e+03, 6.46655e-11, 4.90297e-09, 1.98249e-09 
-2.39276e+03, 6.46683e-11, 4.90318e-09, 1.98258e-09 
-2.39226e+03, 6.46712e-11, 4.90338e-09, 1.98266e-09 
-2.39176e+03, 6.46741e-11, 4.90360e-09, 1.98274e-09 
-2.39126e+03, 6.46770e-11, 4.90381e-09, 1.98283e-09 
-2.39076e+03, 6.46799e-11, 4.90402e-09, 1.98292e-09 
-2.39026e+03, 6.46828e-11, 4.90423e-09, 1.98300e-09 
-2.38976e+03, 6.46858e-11, 4.90445e-09, 1.98309e-09 
-2.38926e+03, 6.46887e-11, 4.90466e-09, 1.98318e-09 
-2.38876e+03, 6.46917e-11, 4.90488e-09, 1.98326e-09 
-2.38826e+03, 6.46947e-11, 4.90509e-09, 1.98335e-09 
-2.38776e+03, 6.46977e-11, 4.90531e-09, 1.98344e-09 
-2.38726e+03, 6.47007e-11, 4.90553e-09, 1.98353e-09 
-2.38676e+03, 6.47037e-11, 4.90575e-09, 1.98362e-09 
-2.38626e+03, 6.47067e-11, 4.90597e-09, 1.98371e-09 
-2.38576e+03, 6.47098e-11, 4.90620e-09, 1.98380e-09 
-2.38526e+03, 6.47129e-11, 4.90642e-09, 1.98389e-09 
-2.38476e+03, 6.47159e-11, 4.90664e-09, 1.98398e-09 
-2.38426e+03, 6.47190e-11, 4.90687e-09, 1.98407e-09 
-2.38376e+03, 6.47221e-11, 4.90709e-09, 1.98416e-09 
-2.38326e+03, 6.47252e-11, 4.90732e-09, 1.98425e-09 
-2.38276e+03, 6.47284e-11, 4.90755e-09, 1.98434e-09 
-2.38226e+03, 6.47315e-11, 4.90778e-09, 1.98443e-09 
-2.38176e+03, 6.47347e-11, 4.90801e-09, 1.98453e-09 
-2.38126e+03, 6.47378e-11, 4.90824e-09, 1.98462e-09 
-2.38076e+03, 6.47410e-11, 4.90847e-09, 1.98471e-09 
-2.38026e+03, 6.47442e-11, 4.90870e-09, 1.98481e-09 
-2.37976e+03, 6.47474e-11, 4.90894e-09, 1.98490e-09 
-2.37926e+03, 6.47507e-11, 4.90917e-09, 1.98500e-09 
-2.37876e+03, 6.47539e-11, 4.90941e-09, 1.98509e-09 
-2.37826e+03, 6.47572e-11, 4.90965e-09, 1.98519e-09 
-2.37776e+03, 6.47604e-11, 4.90988e-09, 1.98529e-09 
-2.37726e+03, 6.47637e-11, 4.91012e-09, 1.98538e-09 
-2.37676e+03, 6.47670e-11, 4.91036e-09, 1.98548e-09 
-2.37626e+03, 6.47703e-11, 4.91060e-09, 1.98558e-09 
-2.37576e+03, 6.47736e-11, 4.91085e-09, 1.98567e-09 
-2.37526e+03, 6.47770e-11, 4.91109e-09, 1.98577e-09 
-2.37476e+03, 6.47803e-11, 4.91133e-09, 1.98587e-09 
-2.37426e+03, 6.47837e-11, 4.91158e-09, 1.98597e-09 
-2.37376e+03, 6.47870e-11, 4.91182e-09, 1.98607e-09 
-2.37326e+03, 6.47904e-11, 4.91207e-09, 1.98617e-09 
-2.37276e+03, 6.47938e-11, 4.91232e-09, 1.98627e-09 
-2.37226e+03, 6.47973e-11, 4.91257e-09, 1.98637e-09 
-2.37176e+03, 6.48007e-11, 4.91282e-09, 1.98647e-09 
-2.37126e+03, 6.48041e-11, 4.91307e-09, 1.98657e-09 
-2.37076e+03, 6.48076e-11, 4.91332e-09, 1.98667e-09 
-2.37026e+03, 6.48111e-11, 4.91357e-09, 1.98678e-09 
-2.36976e+03, 6.48145e-11, 4.91383e-09, 1.98688e-09 
-2.36926e+03, 6.48180e-11, 4.91408e-09, 1.98698e-09 
-2.36876e+03, 6.48216e-11, 4.91434e-09, 1.98708e-09 
-2.36826e+03, 6.48251e-11, 4.91459e-09, 1.98719e-09 
-2.36776e+03, 6.48286e-11, 4.91485e-09, 1.98729e-09 
-2.36726e+03, 6.48322e-11, 4.91511e-09, 1.98740e-09 
-2.36676e+03, 6.48357e-11, 4.91537e-09, 1.98750e-09 
-2.36626e+03, 6.48393e-11, 4.91563e-09, 1.98761e-09 
-2.36576e+03, 6.48429e-11, 4.91589e-09, 1.98771e-09 
-2.36526e+03, 6.48465e-11, 4.91616e-09, 1.98782e-09 
-2.36476e+03, 6.48501e-11, 4.91642e-09, 1.98793e-09 
-2.36426e+03, 6.48538e-11, 4.91668e-09, 1.98803e-09 
-2.36376e+03, 6.48574e-11, 4.91695e-09, 1.98814e-09 
-2.36326e+03, 6.48611e-11, 4.91722e-09, 1.98825e-09 
-2.36276e+03, 6.48648e-11, 4.91748e-09, 1.98836e-09 
-2.36226e+03, 6.48685e-11, 4.91775e-09, 1.98846e-09 
-2.36176e+03, 6.48722e-11, 4.91802e-09, 1.98857e-09 
-2.36126e+03, 6.48759e-11, 4.91829e-09, 1.98868e-09 
-2.36076e+03, 6.48796e-11, 4.91857e-09, 1.98879e-09 
-2.36026e+03, 6.48834e-11, 4.91884e-09, 1.98890e-09 
-2.35976e+03, 6.48871e-11, 4.91911e-09, 1.98901e-09 
-2.35926e+03, 6.48909e-11, 4.91939e-09, 1.98912e-09 
-2.35876e+03, 6.48947e-11, 4.91966e-09, 1.98924e-09 
-2.35826e+03, 6.48985e-11, 4.91994e-09, 1.98935e-09 
-2.35776e+03, 6.49023e-11, 4.92022e-09, 1.98946e-09 
-2.35726e+03, 6.49061e-11, 4.92050e-09, 1.98957e-09 
-2.35676e+03, 6.49100e-11, 4.92078e-09, 1.98969e-09 
-2.35626e+03, 6.49138e-11, 4.92106e-09, 1.98980e-09 
-2.35576e+03, 6.49177e-11, 4.92134e-09, 1.98991e-09 
-2.35526e+03, 6.49216e-11, 4.92162e-09, 1.99003e-09 
-2.35476e+03, 6.49255e-11, 4.92190e-09, 1.99014e-09 
-2.35426e+03, 6.49294e-11, 4.92219e-09, 1.99026e-09 
-2.35376e+03, 6.49333e-11, 4.92248e-09, 1.99037e-09 
-2.35326e+03, 6.49372e-11, 4.92276e-09, 1.99049e-09 
-2.35276e+03, 6.49412e-11, 4.92305e-09, 1.99060e-09 
-2.35226e+03, 6.49451e-11, 4.92334e-09, 1.99072e-09 
-2.35176e+03, 6.49491e-11, 4.92363e-09, 1.99084e-09 
-2.35126e+03, 6.49531e-11, 4.92392e-09, 1.99096e-09 
-2.35076e+03, 6.49571e-11, 4.92421e-09, 1.99107e-09 
-2.35026e+03, 6.49611e-11, 4.92450e-09, 1.99119e-09 
-2.34977e+03, 6.49652e-11, 4.92480e-09, 1.99131e-09 
-2.34927e+03, 6.49692e-11, 4.92509e-09, 1.99143e-09 
-2.34877e+03, 6.49733e-11, 4.92539e-09, 1.99155e-09 
-2.34827e+03, 6.49774e-11, 4.92568e-09, 1.99167e-09 
-2.34777e+03, 6.49814e-11, 4.92598e-09, 1.99179e-09 
-2.34727e+03, 6.49855e-11, 4.92628e-09, 1.99191e-09 
-2.34677e+03, 6.49897e-11, 4.92658e-09, 1.99203e-09 
-2.34627e+03, 6.49938e-11, 4.92688e-09, 1.99215e-09 
-2.34577e+03, 6.49979e-11, 4.92718e-09, 1.99227e-09 
-2.34527e+03, 6.50021e-11, 4.92749e-09, 1.99240e-09 
-2.34477e+03, 6.50063e-11, 4.92779e-09, 1.99252e-09 
